Date,Open,High,Low,Close,Volume
7/21/10,24.333,24.333,23.946,23.946,43321
7/22/10,24.644,24.644,24.362,24.487,18031
7/23/10,24.759,24.759,24.314,24.507,8897
7/26/10,24.624,24.624,24.449,24.595,19443
7/27/10,24.477,24.517,24.431,24.517,8456
7/28/10,24.477,24.517,24.352,24.431,4967
7/29/10,24.527,24.527,24.256,24.256,1238
7/30/10,24.228,24.333,24.228,24.333,618
8/2/10,24.916,24.926,24.664,24.839,7161
8/3/10,24.966,25.069,24.966,25.042,11516
8/4/10,25.069,25.069,25.069,25.069,513
8/5/10,25.118,25.118,25.118,25.118,513
8/6/10,24.537,24.926,24.537,24.926,720
8/9/10,25.207,25.429,25.207,25.265,5620
8/10/10,25.285,25.285,25.285,25.285,513
8/11/10,24.401,24.401,24.401,24.401,101
8/12/10,24.276,24.276,24.276,24.276,1032
8/13/10,24.401,24.401,24.401,24.401,101
8/16/10,24.507,24.507,24.467,24.467,3094
8/17/10,24.789,24.966,24.789,24.966,6704
8/18/10,25.013,25.109,25.013,25.109,587
8/19/10,24.966,24.966,24.966,24.966,513
8/20/10,24.537,24.537,24.517,24.527,1238
8/23/10,24.557,24.557,24.557,24.557,206
8/24/10,24.14,24.198,24.14,24.198,3920
8/25/10,24.091,24.111,24.091,24.111,720
8/26/10,24.352,24.381,24.238,24.238,7736
8/27/10,24.333,24.487,24.188,24.487,10547
8/30/10,24.517,24.517,24.517,24.517,309
8/31/10,24.527,24.567,24.507,24.567,1057
9/1/10,24.888,25.158,24.888,25.158,1545
9/2/10,25.236,25.236,25.236,25.236,101
9/3/10,25.507,25.507,25.429,25.429,4359
9/7/10,25.429,25.429,25.429,25.429,101
9/8/10,25.556,25.651,25.497,25.497,4127
9/9/10,25.708,25.708,25.708,25.708,824
9/10/10,25.806,25.806,25.708,25.747,1960
9/13/10,26.039,26.244,26.039,26.244,216
9/14/10,26.312,26.35,26.312,26.312,1244
9/15/10,26.408,26.437,26.399,26.437,1545
9/16/10,26.486,26.486,26.486,26.486,206
9/17/10,26.389,26.408,26.389,26.408,568
9/20/10,26.893,26.96,26.893,26.96,513
9/21/10,26.816,26.903,26.816,26.903,441
9/22/10,26.786,26.866,26.69,26.737,31669
9/23/10,26.999,26.999,26.747,26.846,4898
9/24/10,26.933,27.076,26.933,27.076,15988
9/27/10,27.242,27.301,27.223,27.301,11244
9/28/10,27.223,27.397,27.223,27.36,7428
9/29/10,27.397,27.456,27.369,27.456,103201
9/30/10,27.504,27.504,27.34,27.35,5076
10/1/10,27.436,27.436,27.436,27.436,5158
10/4/10,27.874,27.874,27.145,27.194,22136
10/5/10,27.466,27.786,27.466,27.776,71865
10/6/10,27.874,27.874,27.639,27.698,4961
10/7/10,27.718,27.718,27.523,27.523,3457
10/8/10,27.59,27.688,27.59,27.649,1092
10/11/10,27.815,27.815,27.756,27.756,824
10/12/10,27.766,27.883,27.582,27.883,2037
10/13/10,28.278,28.278,28.268,28.268,1213
10/14/10,28.24,28.24,27.893,28.078,3851
10/15/10,27.903,27.903,27.883,27.893,791
10/18/10,27.912,27.912,27.912,27.912,513
10/19/10,27.436,27.533,27.34,27.34,1960
10/20/10,27.708,27.824,27.708,27.824,618
10/21/10,28.019,28.155,28.019,28.155,436
